epoch;loss;sparse_categorical_accuracy;val_loss;val_sparse_categorical_accuracy
0;1.0246182680130005;0.7617599964141846;0.5119102597236633;0.8842999935150146
0;1.0248245000839233;0.7605999708175659;0.5128734111785889;0.8838000297546387
1;0.4612942934036255;0.8815000057220459;0.35826367139816284;0.9056000113487244
2;0.3636524975299835;0.8992400169372559;0.3037489354610443;0.9169999957084656
3;0.31755998730659485;0.9101200103759766;0.2725677490234375;0.9244999885559082
4;0.28788986802101135;0.9179400205612183;0.25101539492607117;0.9293000102043152
5;0.2660016715526581;0.9234799742698669;0.23482683300971985;0.9330000281333923
6;0.24872466921806335;0.9281799793243408;0.2217523753643036;0.9383999705314636
7;0.23433274030685425;0.9327999949455261;0.2108776867389679;0.9404000043869019
8;0.22223855555057526;0.9363399744033813;0.201383575797081;0.9440000057220459
9;0.21162806451320648;0.9394199848175049;0.19302169978618622;0.9466000199317932
